ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,outcome
9199,"DOOMEDnyc | the ultimate travel companion",Accessories,US,"2015-04-09 00:00:00","2015-05-11 00:00:00",8000,14411,USD,successful
9200,"Egg on Bread News",Journalism,US,"2009-08-23 00:00:00","2009-10-24 00:00:00",1600,1752.13,USD,successful
9201,"Making Rum & Building a Tasting Room!",Food,US,"2013-11-12 00:00:00","2013-12-12 00:00:00",10000,840,USD,failed
9202,"Drums Along the Mohawk Outdoor Drama",Theater,US,"2014-03-29 00:00:00","2014-04-28 00:00:00",5500,5686,USD,successful
9203,"Goose Case - the iPhone case that does the job right","Product Design",US,"2012-01-27 00:00:00","2012-02-24 00:00:00",27000,343,USD,failed
9204,"Oshi Orb: Massager & Pressure Point Tool","Product Design",US,"2015-03-12 00:00:00","2015-04-12 00:00:00",50000,161,USD,failed
9205,"1 & 3 Productions Radio Station/Studio Fund",Music,"N,0"","2015-11-20 00:00:00","2015-12-20 00:00:00",3500,0,USD,undefined
9206,"A Little Silver Ring","Performance Art",US,"2011-06-23 00:00:00","2011-07-23 00:00:00",330,390,USD,successful
9207,"KANYE'S PUG CALENDAR - 2014% AWESOME",Calendars,US,"2013-12-05 00:00:00","2013-12-15 00:00:00",1500,22706,USD,successful
9208,"Rooki Australia",Apparel,AU,"2016-09-02 00:00:00","2016-10-02 00:00:00",24257.13,0.76,AUD,failed
9209,"The Universal Grip-e Cellphone Wallet","Product Design",CA,"2015-12-30 00:00:00","2016-02-03 00:00:00",2181.66,69.81,CAD,failed
9210,"I'm In Love With Your Husband, Adultery Exposed.",Publishing,"N,0"","2015-07-06 00:00:00","2015-08-20 00:00:00",3000,0,USD,undefined
9211,"Donnez vie aux Bâtards",Webseries,CA,"2015-03-07 00:00:00","2015-04-21 00:00:00",990.18,16.5,CAD,failed
9212,"FRONTIER the PODCAST","Radio & Podcasts",US,"2015-11-16 00:00:00","2015-12-16 00:00:00",2500,2535,USD,successful
9213,"Poetry Observed in New York City",Poetry,US,"2012-07-20 00:00:00","2012-08-15 00:00:00",5000,5663,USD,successful
9214,"A Year as an Artist",Painting,US,"2015-04-28 00:00:00","2015-06-27 00:00:00",2500,0,USD,failed
9215,"Sun Belt Express","Narrative Film",US,"2012-07-09 00:00:00","2012-08-15 00:00:00",40000,40593,USD,successful
9216,"nudge - Don't miss important stuff. Put your phone away.",Wearables,GB,"2014-11-17 00:00:00","2014-12-18 00:00:00",54767.94,35810.41,GBP,failed
9217,"Omni-Mind, one mind, lots of adventures",Fiction,US,"2016-05-05 00:00:00","2016-06-04 00:00:00",3000,0,USD,failed
9218,"Victim Of A Small Town: Music & Art Experience",Pop,US,"2015-05-09 00:00:00","2015-06-08 00:00:00",10000,10621,USD,successful
9219,"Walla Fest is moving to Philly for Summer 2015!",Art,US,"2015-04-27 00:00:00","2015-05-27 00:00:00",1000,1003,USD,successful
9220,"Enamel Skull lapel pin",Design,GB,"2016-08-03 00:00:00","2016-09-02 00:00:00",332.1,502.13,GBP,successful
9221,""You Gotta Stay Cocksure!"  -  A Cocksure Lads Feature Film","Narrative Film",US,"2012-02-13 00:00:00","2012-04-13 00:00:00",25000,27867,USD,successful
9222,"The Set Strikes Back","Indie Rock",US,"2011-09-11 00:00:00","2011-09-29 00:00:00",2500,2550,USD,successful
9223,"Airport Parking at Your House",Web,US,"2016-09-28 00:00:00","2016-10-28 00:00:00",3000,145,USD,failed
9224,"RPGS: Vampire the Masquerade LARP","Live Games",US,"2015-06-02 00:00:00","2015-06-19 00:00:00",200,200,USD,successful
9225,"FPS Russia: The Game","Video Games",US,"2012-11-22 00:00:00","2012-12-14 00:00:00",51337,55380.11,USD,successful
9226,"Double Horror film Screening - Clown Motel and Bloody Island",Horror,US,"2016-08-05 00:00:00","2016-08-19 00:00:00",500,513,USD,successful
9227,"Haven Knights",Comics,US,"2013-07-10 00:00:00","2013-08-09 00:00:00",3800,1691,USD,failed
9228,"Binary Word - Online Game and App","Mobile Games",US,"2016-09-28 00:00:00","2016-11-27 00:00:00",10000,1,USD,canceled
9229,""A Letter to Heaven"","Mixed Media",US,"2014-09-24 00:00:00","2014-11-08 00:00:00",2000,0,USD,failed
9230,"Les bons dimanches_le Podcast",Webseries,CA,"2017-06-17 00:00:00","2017-08-01 00:00:00",3977.09,4175.14,CAD,successful
9231,"Project: Garo Mask",Crafts,US,"2015-03-24 00:00:00","2015-04-13 00:00:00",200,0,USD,failed
9232,"Air Freshener by Air Spice (Canceled)","Product Design",CA,"2015-10-13 00:00:00","2015-11-12 00:00:00",1503.19,327.7,CAD,canceled
9233,"Brett Elizabeth Jenkins' - Midwest Poetry Tour",Poetry,US,"2010-05-27 00:00:00","2010-06-17 00:00:00",2100,2200.1,USD,successful
9234,"Double album: At the Spine & Beautiful Sunsets, 28 songs!",Music,US,"2012-01-25 00:00:00","2012-02-24 00:00:00",5000,5089,USD,successful
9235,""Team Teddy" Jonny gets a buddy","Children's Books",US,"2013-04-03 00:00:00","2013-06-01 00:00:00",5000,0,USD,failed
