ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,backers,outcome
843,"STAR PATROL: a hex & counter minigame of starship combat","Tabletop Games",US,"2015-08-01 00:00:00","2015-09-01 00:00:00",1650,25206,USD,1880,successful
9189,"Shadowfist: The Coming Darkness","Tabletop Games",US,"2014-04-01 00:00:00","2014-05-01 00:00:00",20000,25182,USD,206,successful
11407,"Brass Empire: New Canton Expansion + Original Reprint","Tabletop Games",US,"2017-11-01 00:00:00","2017-12-01 00:00:00",15800,25076,USD,494,successful
6722,Kromore,"Tabletop Games",US,"2014-05-07 00:00:00","2014-06-17 00:00:00",10000,24924,USD,291,successful
3657,"Crazy 8's - A Hand Illustrated Deck of Playing Cards","Playing Cards",US,"2016-01-16 00:00:00","2016-02-10 00:00:00",12000,24809,USD,619,successful
10082,"Guild Masters","Tabletop Games",US,"2016-10-25 00:00:00","2016-11-18 00:00:00",30000,24688,USD,464,failed
2703,"Premium Bicycle® Playing Cards Deck","Playing Cards",US,"2017-03-22 00:00:00","2017-04-07 00:00:00",5000,24351,USD,499,successful
8346,Cairn,"Tabletop Games",US,"2012-11-15 00:00:00","2012-11-25 00:00:00",2000,24157,USD,420,successful
4295,Argonauts,"Tabletop Games",US,"2015-06-18 00:00:00","2015-07-15 00:00:00",9000,24069,USD,603,successful
4806,"Limitless Encounters vol. 1","Tabletop Games",US,"2016-11-14 00:00:00","2016-12-14 00:00:00",5000,23686,USD,572,successful
12481,"Morbid Curiosity","Playing Cards",US,"2016-09-06 00:00:00","2016-10-07 00:00:00",10000,23539.01,USD,692,successful
6549,"Bicycle® Hundred Years' War Playing Cards","Playing Cards",US,"2014-06-03 00:00:00","2014-07-03 00:00:00",20000,23335.01,USD,504,successful
13294,"Whisper & Venom: RPG Adventure Boxed Set with 28mm Minis","Tabletop Games",US,"2013-05-30 00:00:00","2013-07-06 00:00:00",5000,23307,USD,203,successful
2824,"Spinagogue - The First-Ever Dreidel Spinning Stadium","Tabletop Games",US,"2016-12-20 00:00:00","2017-01-25 00:00:00",18000,23234.95,USD,491,successful
7237,"Shattered Void - The Sci-Fi Dogfighting Tabletop Wargame","Tabletop Games",GB,"2016-07-01 00:00:00","2016-07-31 00:00:00",13154.09,22688.17,GBP,212,successful
6128,"Champions of Hara","Tabletop Games",US,"2015-04-06 00:00:00","2015-05-06 00:00:00",15000,22355,USD,285,successful
1283,"SAMARA   ("Worker Timetrack" board game)","Tabletop Games",NL,"2015-05-11 00:00:00","2015-06-10 00:00:00",8975.96,22007.92,EUR,443,successful
6616,"Lairs: Build Your Lair, Then Defend It With Your Life","Tabletop Games",US,"2016-06-16 00:00:00","2016-07-16 00:00:00",10000,21393.69,USD,606,successful
13979,"Nightmarium, a game about conquering nightmares","Tabletop Games",US,"2016-08-31 00:00:00","2016-09-29 00:00:00",10000,21223,USD,1183,successful
14595,"Queen Games - Mini Expansions and Upgrades","Tabletop Games",US,"2017-11-08 00:00:00","2017-11-17 00:00:00",2000,21005,USD,327,successful
